module,file,kind,class,name,signature,async
ClaudeDex.count_loc,ClaudeDex/count_loc.py,function,,count_loc_in_file,(file_path),False
ClaudeDex.count_loc,ClaudeDex/count_loc.py,function,,count_project_loc,(root_dir='.'),False
ClaudeDex.main,ClaudeDex/main.py,function,,setup_logger,"(name, mode)",False
ClaudeDex.main,ClaudeDex/main.py,function,,test_connection,(),True
ClaudeDex.main,ClaudeDex/main.py,function,,test_redis_connection,(),True
ClaudeDex.main,ClaudeDex/main.py,function,,test_web3_connection,(),True
ClaudeDex.main,ClaudeDex/main.py,function,,test_api_connection,(),True
ClaudeDex.main,ClaudeDex/main.py,function,,verify_models_loaded,(),True
ClaudeDex.main,ClaudeDex/main.py,function,,check_wallet_balance,(),True
ClaudeDex.main,ClaudeDex/main.py,function,,close_all_connections,(),True
ClaudeDex.main,ClaudeDex/main.py,class,,HealthChecker,,False
ClaudeDex.main,ClaudeDex/main.py,method,HealthChecker,__init__,"(self, engine)",False
ClaudeDex.main,ClaudeDex/main.py,method,HealthChecker,monitor,(self),True
ClaudeDex.main,ClaudeDex/main.py,class,,TradingBotApplication,,False
ClaudeDex.main,ClaudeDex/main.py,method,TradingBotApplication,__init__,"(self, config_path='config/settings.yaml', mode='production')",False
ClaudeDex.main,ClaudeDex/main.py,method,TradingBotApplication,_signal_handler,"(self, signum, frame)",False
ClaudeDex.main,ClaudeDex/main.py,method,TradingBotApplication,initialize,(self),True
ClaudeDex.main,ClaudeDex/main.py,method,TradingBotApplication,_validate_environment,(self),False
ClaudeDex.main,ClaudeDex/main.py,method,TradingBotApplication,_perform_system_checks,(self),True
ClaudeDex.main,ClaudeDex/main.py,method,TradingBotApplication,_check_database,(self),True
ClaudeDex.main,ClaudeDex/main.py,method,TradingBotApplication,_check_redis,(self),True
ClaudeDex.main,ClaudeDex/main.py,method,TradingBotApplication,_check_web3,(self),True
ClaudeDex.main,ClaudeDex/main.py,method,TradingBotApplication,_check_apis,(self),True
ClaudeDex.main,ClaudeDex/main.py,method,TradingBotApplication,_check_models,(self),True
ClaudeDex.main,ClaudeDex/main.py,method,TradingBotApplication,_check_wallet,(self),True
ClaudeDex.main,ClaudeDex/main.py,method,TradingBotApplication,run,(self),True
ClaudeDex.main,ClaudeDex/main.py,method,TradingBotApplication,_status_reporter,(self),True
ClaudeDex.main,ClaudeDex/main.py,method,TradingBotApplication,_shutdown_monitor,(self),True
ClaudeDex.main,ClaudeDex/main.py,method,TradingBotApplication,shutdown,(self),True
ClaudeDex.main,ClaudeDex/main.py,function,,parse_arguments,(),False
ClaudeDex.main,ClaudeDex/main.py,function,,main,(),True
ClaudeDex.scaffold,ClaudeDex/scaffold.py,function,,ensure_dir,(path),False
ClaudeDex.scaffold,ClaudeDex/scaffold.py,function,,ensure_file,(path),False
ClaudeDex.setup,ClaudeDex/setup.py,function,,read_requirements,(file),False
ClaudeDex.setup_env_keys,ClaudeDex/setup_env_keys.py,function,,generate_encryption_key,(),False
ClaudeDex.setup_env_keys,ClaudeDex/setup_env_keys.py,function,,generate_jwt_secret,(),False
ClaudeDex.setup_env_keys,ClaudeDex/setup_env_keys.py,function,,encrypt_private_key,"(private_key, encryption_key)",False
ClaudeDex.setup_env_keys,ClaudeDex/setup_env_keys.py,function,,main,(),False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,class,,DefInfo,,False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,class,,ClassInfo,,False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,class,,ModuleInfo,,False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,class,,CallSite,,False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,class,,Problem,,False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,function,,is_py,(path),False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,function,,is_cfg,(path),False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,function,,to_module,"(root, file_path)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,function,,file_for_module,"(root, module)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,function,,extract_sig,"(fn, is_method)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,function,,arg_summary,(node),False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,function,,dotted_attr,(node),False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,function,,read_file,(p),False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,function,,resolve_relative,"(module, level, imported)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,function,,pretty_sig,(sig),False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,class,,PyIndexer,,False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,PyIndexer,__init__,"(self, root, filepath, module)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,PyIndexer,visit_Import,"(self, node)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,PyIndexer,visit_ImportFrom,"(self, node)",False
ClaudeDex.verify_references,ClaudeDex/verify_references.py,method,PyIndexer,visit_ClassDef,"(self, node)",False
