Time,Symbol,Side,Entry Price,Exit Price,Size,Leverage,P&L,P&L %,Fees,Exit Reason,Duration (s)
"2025-12-13T14:25:47.714920","BNB/USDT","short","881.24","890.73","0.30638645544913984","10","-3.1236","-10.77","0.2160","signal_reversal","71115"
"2025-12-13T13:24:11.786021","ETH/USDT","short","3084.38","3103.62","0.0875378520156401","10","-1.9002","-6.24","0.2160","signal_reversal","58125"
"2025-12-13T11:45:28.805343","BTC/USDT","short","90150.8","90301","0.0029949817417039004","10","-0.6658","-1.67","0.2160","signal_reversal","52978"
"2025-12-13T10:48:53.136477","DOGE/USDT","long","0.13674","0.13948","493.6375603334796","10","1.3521","20.04","0.0275","take_profit_1","68767"
"2025-12-13T09:30:55.007469","ZEC/USDT","long","464.87","454.54","0.5808075375911546","10","-6.2157","-22.22","0.2160","SL Hit","3836"
"2025-12-13T08:23:01.406912","AVAX/USDT","short","13.178","13.442","20.488693276673242","10","-5.6250","-20.03","0.2160","SL Hit","49312"
"2025-12-13T08:18:35.054333","DOT/USDT","short","2.004","2.045","134.7305389221557","10","-5.7400","-20.46","0.2160","SL Hit","49008"
"2025-12-13T08:16:07.457011","LINK/USDT","short","13.559","13.843","19.912972933107163","10","-5.8713","-20.95","0.2160","SL Hit","44499"
"2025-12-13T03:44:54.032328","JUP/USDT","long","0.2005","0.2046","336.6583541147132","10","1.3810","20.45","0.0276","take_profit_1","40294"
"2025-12-12T21:15:19.527243","BCH/USDT","long","579.4","578.82","0.4659993096306524","10","-0.4863","-1.00","0.2160","signal_reversal","52936"
"2025-12-12T21:02:24.730635","ZEC/USDT","long","456.73","457.11","0.591158890372868","10","0.0086","0.83","0.2160","signal_reversal","20063"
"2025-12-12T18:50:11.636312","XRP/USDT","short","2.0229","2.0235","100.10381135992883","10","-0.2491","-0.30","0.1890","Breakeven SL","83537"
"2025-12-12T18:42:21.852904","ADA/USDT","long","0.4068","0.4153","165.92920353982302","10","1.4123","20.89","0.0276","take_profit_1","7668"
"2025-12-12T17:07:53.621151","AVAX/USDT","short","13.582","12.991","9.939625975555881","10","5.7123","43.51","0.1620","TSL Hit","14883"
"2025-12-12T16:27:39.723998","ADA/USDT","short","0.4255","0.4107","317.27379553466506","10","4.5337","34.78","0.1620","TSL Hit","69020"
"2025-12-12T16:27:39.139850","JUP/USDT","short","0.2195","0.2025","307.51708428246013","10","5.0928","77.45","0.1350","TSL Hit","69559"
"2025-12-12T16:22:00.780337","SUI/USDT","long","1.5728","1.5392","171.66836215666328","10","-5.9841","-21.36","0.2160","SL Hit","2760"
"2025-12-12T16:19:26.323303","FIL/USDT","long","1.345","1.317","200.74349442379182","10","-5.8368","-20.82","0.2160","SL Hit","3008"
"2025-12-12T15:58:31.797602","LTC/USDT","long","83.09","81.23","3.249488506438801","10","-6.2600","-22.39","0.2160","SL Hit","1792"
"2025-12-12T15:58:29.214191","ADA/USDT","short","0.4255","0.4078","158.63689776733256","10","2.6652","41.60","0.0259","take_profit_2","67269"
"2025-12-12T15:58:27.734704","XRP/USDT","short","2.0229","1.9804","33.367937119976276","10","1.3619","21.01","0.0264","take_profit_1","73233"
"2025-12-12T15:52:26.295616","AVAX/USDT","short","13.582","13.033","4.969812987777941","10","2.5922","40.42","0.0259","take_profit_2","10356"
"2025-12-12T15:42:40.554232","LINK/USDT","long","13.913","13.619","19.406310644720765","10","-5.9215","-21.13","0.2160","SL Hit","917"
"2025-12-12T15:35:54.071750","DOGE/USDT","long","0.14017","0.13728","1926.2324320468006","10","-5.7828","-20.62","0.2160","SL Hit","53388"
"2025-12-12T15:34:39.460863","JUP/USDT","short","0.2195","0.2058","307.51708428246013","10","3.9247","62.41","0.0253","take_profit_3","66379"
"2025-12-12T15:28:34.098465","AAVE/USDT","long","203","198.46","1.3300492610837438","10","-6.2544","-22.36","0.2160","SL Hit","35201"
"2025-12-12T15:28:33.721456","DOT/USDT","long","2.058","2.016","131.19533527696794","10","-5.7262","-20.41","0.2160","SL Hit","52910"
"2025-12-12T15:28:32.408952","ADA/USDT","short","0.4255","0.4157","158.63689776733256","10","1.4925","23.03","0.0264","take_profit_1","65472"
"2025-12-12T15:27:20.842646","BNB/USDT","short","887.84","885.58","0.30410884844116054","10","0.4713","2.55","0.2160","signal_reversal","9109"
"2025-12-12T15:27:18.834823","SOL/USDT","long","136.32","135.97","1.485475352112676","10","-0.7089","-2.57","0.1890","Breakeven SL","52756"
"2025-12-12T15:26:44.263177","AVAX/USDT","short","13.582","13.292","4.969812987777941","10","1.3840","21.35","0.0264","take_profit_1","8814"
"2025-12-12T15:04:13.048626","JUP/USDT","short","0.2195","0.2103","307.51708428246013","10","2.6847","41.91","0.0259","take_profit_2","64553"
"2025-12-12T12:59:44.633594","BTC/USDT","long","92278.7","92382.1","0.0029259189823870515","10","0.0865","1.12","0.2160","signal_reversal","44054"
