2026-06-15 21:48:46,422 - CatalystCalendarModule - INFO - Catalyst Calendar Module Starting...
2026-06-15 21:48:46,422 - CatalystCalendarModule - INFO -    Working dir: /app
2026-06-15 21:48:47,635 - CatalystCalendarModule - INFO -    DB pool connected to postgres:5432/tradingbot
2026-06-15 21:48:49,778 - CatalystCalendarModule - INFO -    Health server on :8096
2026-06-15 21:48:50,363 - catalyst_calendar - WARNING - fetch https://api.llama.fi/emissions -> HTTP 402 (hard-unavailable; suppressing further attempts this run)
2026-06-15 21:48:50,787 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-15 22:48:51,057 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-15 23:48:51,299 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-16 00:48:51,533 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-16 01:48:51,821 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-16 02:48:51,974 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-16 03:48:52,158 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-16 04:48:52,341 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-16 05:48:52,517 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-16 06:48:52,679 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-16 07:48:52,871 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-16 08:48:53,310 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-16 09:48:53,496 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-16 10:48:53,983 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-16 11:48:54,201 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
