2026-07-07 08:18:48,626 - CatalystCalendarModule - INFO - Catalyst Calendar Module Starting...
2026-07-07 08:18:48,627 - CatalystCalendarModule - INFO -    Working dir: /app
2026-07-07 08:18:50,102 - CatalystCalendarModule - INFO -    DB pool connected to postgres:5432/tradingbot
2026-07-07 08:18:51,478 - CatalystCalendarModule - INFO -    Health server on :8096
2026-07-07 08:18:52,170 - catalyst_calendar - WARNING - fetch https://api.llama.fi/emissions -> HTTP 402 (hard-unavailable; suppressing further attempts this run)
2026-07-07 08:18:52,424 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-07 09:18:52,810 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-07 10:18:52,993 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-07 11:18:53,160 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-07 12:18:53,374 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-07 13:18:53,568 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-07 14:18:53,811 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-07 15:18:53,996 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-07 16:18:54,167 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-07 17:18:54,370 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-07 18:18:54,567 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-07 19:18:54,754 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-07 20:18:54,983 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-07 21:18:55,143 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-07 22:18:55,443 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-07 23:18:55,687 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-08 00:18:55,879 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-08 01:18:56,147 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-08 02:18:56,331 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-08 03:18:56,496 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-08 04:18:56,653 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
