2026-06-15 21:48:59,702 - SniperModule - INFO - 🔫 Sniper Module Starting...
2026-06-15 21:48:59,702 - SniperModule - INFO -    Working dir: /app
2026-06-15 21:48:59,703 - SniperModule - INFO -    Log dir: /app/logs/sniper
2026-06-15 21:48:59,703 - SniperModule - INFO -    DRY_RUN (resolved per-module): True
2026-06-15 21:48:59,707 - SniperModule - INFO -    Killswitch poller started (logs/.killswitch)
2026-06-15 21:48:59,708 - SniperModule - INFO -    Solana RPC: Configured
2026-06-15 21:48:59,708 - SniperModule - INFO -    EVM RPC: Configured
2026-06-15 21:49:00,249 - SniperModule - INFO - ✅ Database connected
2026-06-15 21:49:00,249 - SniperModule - INFO - ✅ Secrets manager initialized with database
2026-06-15 21:49:00,358 - SniperModule - INFO - ✅ Pool Engine initialized for RPC management
2026-06-15 21:49:00,358 - SniperModule - INFO -    Solana RPC from Pool Engine: OK
2026-06-15 21:49:00,358 - SniperModule - INFO -    EVM RPC from Pool Engine: OK
2026-06-15 21:49:03,455 - SniperModule - INFO - ✅ AllocationGuard wired into RiskManager (module=sniper)
2026-06-15 21:49:03,455 - SniperModule - INFO - ✅ RiskManager wired into Sniper engine
2026-06-15 21:49:03,455 - SniperEngine - INFO - 🔫 Initializing Sniper Engine...
2026-06-15 21:49:03,467 - SniperEngine - INFO - 📋 Sniper settings loaded: trade_amount=0.1, slippage=10.0%
2026-06-15 21:49:03,467 - SniperEngine - INFO -    Mode: DRY_RUN (no real trades) | TEST_MODE (relaxed safety)
2026-06-15 21:49:03,468 - SniperEngine - INFO -    Target Chain: ALL (All Chains)
2026-06-15 21:49:03,468 - SniperEngine - INFO -    Safety (TEST MODE): max_tax=50%, min_liq=DISABLED (set to $0)
2026-06-15 21:49:03,468 - SniperEngine - INFO -    Exit: TP=50.0%, SL=20.0%
2026-06-15 21:49:03,468 - SniperEngine - INFO -    EVM sniping: DISABLED (sniper_evm_enabled=False) | evm_min_liq=$50,000 | evm_min_score=>=70
2026-06-15 21:49:03,469 - SniperEngine - INFO -    W15 exit: PartialTake=20.0%@50.0% trail=True
2026-06-15 21:49:03,469 - SniperEngine - INFO -    W15/W16 entry gates [ACTIVE (always-on)]: min_holders=10 min_age=30s max_dev_holding=30.0% min_buy_sell=1.5 min_score=40 | safety_api=ON
2026-06-15 21:49:03,469 - SniperEngine - INFO -    W15 risk gate: sniper_use_dex_risk_manager=False (sniper-own gates only (capital checks preserved))
2026-06-15 21:49:03,469 - SniperEngine - INFO -    W17 delayed-entry: min_age=180s watchlist_max=500 recheck=15s fail_closed_bsr=True phantom_threshold=300.0%
2026-06-15 21:49:03,474 - SniperEngine - WARNING - SNIPER budget=0 (allocation_guard_config.budget_usd_sniper=0): all LIVE entries suppressed. DRY_RUN simulated entries are still collected for burn-in stats. Operator action to enable LIVE: set budget_usd_sniper > 0 in DB.
2026-06-15 21:49:03,664 - TradeExecutor - INFO - 💱 Trade Executor initialized (DRY RUN)
2026-06-15 21:49:03,668 - SniperEngine - WARNING - EVM sniping DISABLED by sniper_evm_enabled=false (DB config). Solana path is unaffected. To re-enable: UPDATE config_settings SET value='true' WHERE config_type='sniper_config' AND key='sniper_evm_enabled';
2026-06-15 21:49:03,724 - SolanaListener - INFO - 🔌 Initializing Solana Listener (MULTI-AMM VERSION)...
2026-06-15 21:49:03,724 - SolanaListener - INFO -    RPC: https://solana-mainnet.g.alchemy.com/v2/p8TihQhCAI...
2026-06-15 21:49:03,724 - SolanaListener - INFO -    Poll Interval: 15s
2026-06-15 21:49:03,724 - SolanaListener - INFO -    Enabled AMMs: ['raydium_v4', 'pump_fun']
2026-06-15 21:49:03,724 - SolanaListener - INFO -    Listener Mode: WSS
2026-06-15 21:49:03,724 - SolanaListener - INFO -    WSS URL: wss://mainnet.helius-rpc.com/?api-key=021371af-046f-4cf4-a71...
2026-06-15 21:49:03,818 - SolanaListener - ERROR - ❌ RPC verification failed - check your RPC URL
2026-06-15 21:49:03,818 - SniperEngine - INFO - ✅ Sniper Engine initialized
2026-06-15 21:49:03,856 - SniperEngine - INFO - 🔑 Sniper wallets surfaced: solana=BZ7dWN...qedR evm=0x802f...1D4D
2026-06-15 21:49:03,856 - SniperModule - INFO - ✅ Sniper Engine initialized successfully
2026-06-15 21:49:03,926 - SniperModule - INFO - 📱 Telegram remote control enabled
2026-06-15 21:49:04,213 - SniperEngine - INFO - 🔫 Sniper Engine Started
2026-06-15 21:49:04,242 - SniperEngine - INFO - ♻️ Sniper reconcile: no open rows to restore
2026-06-15 21:59:12,201 - SniperEngine - INFO - 🔫 Monitor status: 6000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-15 22:09:20,856 - SniperEngine - INFO - 🔫 Monitor status: 12000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-15 22:19:29,193 - SniperEngine - INFO - 🔫 Monitor status: 18000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-15 22:29:37,708 - SniperEngine - INFO - 🔫 Monitor status: 24000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-15 22:39:45,878 - SniperEngine - INFO - 🔫 Monitor status: 30000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-15 22:49:53,832 - SniperEngine - INFO - 🔫 Monitor status: 36000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-15 23:00:01,698 - SniperEngine - INFO - 🔫 Monitor status: 42000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-15 23:10:10,128 - SniperEngine - INFO - 🔫 Monitor status: 48000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-15 23:20:17,892 - SniperEngine - INFO - 🔫 Monitor status: 54000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-15 23:30:25,543 - SniperEngine - INFO - 🔫 Monitor status: 60000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-15 23:40:32,438 - SniperEngine - INFO - 🔫 Monitor status: 66000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-15 23:50:39,471 - SniperEngine - INFO - 🔫 Monitor status: 72000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 00:00:46,790 - SniperEngine - INFO - 🔫 Monitor status: 78000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 00:10:54,306 - SniperEngine - INFO - 🔫 Monitor status: 84000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 00:21:02,534 - SniperEngine - INFO - 🔫 Monitor status: 90000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 00:31:10,380 - SniperEngine - INFO - 🔫 Monitor status: 96000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 00:41:18,089 - SniperEngine - INFO - 🔫 Monitor status: 102000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 00:51:25,590 - SniperEngine - INFO - 🔫 Monitor status: 108000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 01:01:33,542 - SniperEngine - INFO - 🔫 Monitor status: 114000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 01:11:41,012 - SniperEngine - INFO - 🔫 Monitor status: 120000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 01:21:49,002 - SniperEngine - INFO - 🔫 Monitor status: 126000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 01:31:57,027 - SniperEngine - INFO - 🔫 Monitor status: 132000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 01:42:04,236 - SniperEngine - INFO - 🔫 Monitor status: 138000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 01:52:10,683 - SniperEngine - INFO - 🔫 Monitor status: 144000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 02:02:17,488 - SniperEngine - INFO - 🔫 Monitor status: 150000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 02:12:24,494 - SniperEngine - INFO - 🔫 Monitor status: 156000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 02:22:31,788 - SniperEngine - INFO - 🔫 Monitor status: 162000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 02:32:38,848 - SniperEngine - INFO - 🔫 Monitor status: 168000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 02:42:45,309 - SniperEngine - INFO - 🔫 Monitor status: 174000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 02:52:51,951 - SniperEngine - INFO - 🔫 Monitor status: 180000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 03:02:59,250 - SniperEngine - INFO - 🔫 Monitor status: 186000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 03:13:06,230 - SniperEngine - INFO - 🔫 Monitor status: 192000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 03:23:14,081 - SniperEngine - INFO - 🔫 Monitor status: 198000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 03:33:21,273 - SniperEngine - INFO - 🔫 Monitor status: 204000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 03:43:28,314 - SniperEngine - INFO - 🔫 Monitor status: 210000 scans, 0 EVM pairs, 0 Solana pools detected
2026-06-16 03:53:35,348 - SniperEngine - INFO - 🔫 Monitor status: 216000 scans, 0 EVM pairs, 0 Solana pools detected
